Fri.Feb.17.2017.12.38.PM
Match Number: 9 
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,
int,	string,	string,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4,	PWM 2 PDP 1 (intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,	PCM Solenoid Volt,
1100,Tele Enable,0.000,-0.000,FALSE,-10.030,0.007,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.050,12.625,11.100,10.719,Open,Down,
1150,Tele Enable,0.000,-0.000,FALSE,-10.070,0.306,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.050,12.562,11.050,10.719,Open,Down,
1200,Tele Enable,0.000,-0.000,FALSE,-10.050,0.821,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.050,12.719,10.950,10.562,Open,Down,
1250,Tele Enable,0.000,-0.000,FALSE,-10.030,0.165,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,12.500,11.150,10.750,Open,Down,
1300,Tele Enable,0.000,-0.000,FALSE,-10.060,0.936,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.850,12.625,11.050,10.656,Open,Down,
1350,Tele Enable,0.000,-0.000,FALSE,-10.040,-0.433,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.950,12.719,11.000,10.594,Open,Down,
1400,Tele Enable,0.000,-0.000,FALSE,-10.050,-1.830,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.950,12.500,11.100,10.750,Open,Down,
1450,Tele Enable,0.000,-0.000,FALSE,-10.040,-0.159,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.950,12.656,10.950,10.594,Open,Down,
1500,Tele Enable,0.000,-0.000,FALSE,-10.040,-0.103,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.950,12.656,11.050,10.656,Open,Down,
1550,Tele Enable,0.000,-0.000,FALSE,-10.060,0.420,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.950,12.562,11.050,10.719,Open,Down,
1600,Tele Enable,0.000,-0.000,FALSE,-10.040,0.856,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,12.719,10.950,10.562,Open,Down,
1650,Tele Enable,0.000,-0.000,FALSE,-10.020,0.086,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,12.500,11.150,10.750,Open,Down,
1700,Tele Enable,0.000,-0.000,FALSE,-10.050,0.801,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.950,12.656,11.000,10.656,Open,Down,
1750,Tele Enable,0.000,-0.000,FALSE,-10.040,0.049,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,12.719,11.000,10.562,Open,Down,
1800,Tele Enable,0.000,-0.000,FALSE,-10.030,-1.765,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,12.500,11.100,10.750,Open,Down,
1850,Tele Enable,0.000,-0.000,FALSE,-10.040,-0.423,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.950,12.719,10.900,10.562,Open,Down,
1900,Tele Enable,0.000,-0.000,FALSE,-10.030,0.051,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.850,12.625,11.100,10.719,Open,Down,
1950,Tele Enable,0.000,-0.000,FALSE,-10.060,-0.092,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.800,12.625,11.000,10.656,Open,Down,
2000,Tele Enable,0.000,-0.000,FALSE,-10.010,0.790,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.850,12.719,10.950,10.562,Open,Down,
2050,Tele Enable,0.000,-0.000,FALSE,-10.000,0.332,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.900,12.500,11.150,10.750,Open,Down,
2100,Tele Enable,0.000,-0.000,FALSE,-10.060,0.663,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.950,12.625,10.950,10.594,Open,Down,
2150,Tele Enable,0.000,-0.000,FALSE,-10.030,1.035,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.950,12.656,11.000,10.594,Open,Down,
2200,Tele Enable,0.000,-0.000,FALSE,-10.030,-1.481,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.950,12.562,11.050,10.719,Open,Down,
2250,Tele Enable,0.000,-0.000,FALSE,-10.050,-1.384,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.950,12.719,10.900,10.500,Open,Down,
2300,Tele Enable,0.000,-0.000,FALSE,-10.020,0.067,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,12.500,11.100,10.750,Open,Down,
2350,Tele Enable,0.000,-0.000,FALSE,-10.030,-0.300,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.950,12.656,10.950,10.594,Open,Down,
2400,Tele Enable,0.000,-0.000,FALSE,-10.060,0.330,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.050,12.719,11.000,10.594,Open,Down,
2450,Tele Enable,0.000,-0.000,FALSE,-10.010,0.970,TRUE,-0.077,-0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.050,12.562,11.050,10.719,Open,Down,
