Sat.Mar.11.2017.7.05.PM
Match: 42,Battery: -1
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0,Auto Enable,TRUE,-0.170,-0.177,0.000,0.000,Close,Down,0.000,0.000,FALSE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.050,0.000,12.850,
50,Auto Enable,TRUE,-0.387,-0.398,0.000,0.000,Close,Down,0.000,-0.001,FALSE,0.090,0.103,2.125,0.000,0.000,3.375,2.375,2.625,1.750,0.000,12.300,0.000,12.300,
100,Auto Enable,TRUE,-0.480,-0.490,0.000,0.000,Close,Down,-0.420,-0.818,TRUE,0.602,0.731,10.000,0.000,0.000,10.625,7.875,10.375,7.500,14.625,11.600,0.000,11.550,
150,Auto Enable,TRUE,-0.477,-0.490,0.000,0.000,Close,Down,-0.460,-0.260,TRUE,1.820,2.192,10.000,0.000,0.000,10.625,6.250,9.125,5.000,12.125,11.850,0.000,11.750,
200,Auto Enable,TRUE,-0.490,-0.490,0.000,0.000,Close,Down,-1.060,-0.308,TRUE,4.076,4.742,7.750,0.000,0.000,9.500,5.500,6.875,5.000,10.750,11.950,0.000,11.850,
250,Auto Enable,TRUE,-0.490,-0.490,0.000,0.000,Close,Down,-1.270,-0.183,TRUE,6.357,7.152,7.750,0.000,0.000,9.500,5.500,5.625,4.250,10.750,12.050,0.000,11.950,
300,Auto Enable,TRUE,-0.490,-0.490,0.000,0.000,Close,Down,-1.570,-0.080,TRUE,8.870,9.818,5.625,0.000,0.000,8.000,4.125,4.500,3.375,9.125,12.150,0.000,12.050,
350,Auto Enable,TRUE,-0.490,-0.489,0.000,0.000,Close,Down,-1.750,-0.048,TRUE,11.754,12.741,4.500,0.000,0.000,5.875,3.500,3.875,3.000,7.875,12.200,0.000,12.100,
400,Auto Enable,TRUE,-0.490,-0.486,0.000,0.000,Close,Down,-2.050,0.021,TRUE,15.740,16.842,3.875,0.000,0.000,5.875,3.500,3.875,2.750,6.625,12.250,0.000,12.150,
