
Match Number: 0 
time,	robotMode,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,
int,	string,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4,	PWM 2 PDP 1 (intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,
0,Auto Enable,-0.382,-0.423,5.870,0.000,FALSE,0.000,0.000,1.625,0.000,0.000,2.875,2.625,0.000,2.375,2.750,11.200,17.375,9.700,9.375,
50,Auto Enable,-0.372,-0.423,5.890,-0.936,TRUE,0.282,0.359,1.625,0.000,0.000,2.875,5.625,0.000,7.750,2.750,10.800,10.594,10.050,9.750,
100,Auto Enable,-0.352,-0.423,5.980,-1.193,TRUE,1.025,1.192,5.625,0.000,0.000,6.000,5.625,0.000,6.375,8.625,11.000,8.844,10.350,10.000,
150,Auto Enable,-0.336,-0.423,5.980,-1.160,TRUE,1.782,1.935,3.750,0.000,0.000,4.250,3.625,0.000,6.375,8.625,11.050,8.688,10.450,10.094,
200,Auto Enable,-0.313,-0.423,5.980,0.331,TRUE,3.153,3.217,1.750,0.000,0.000,2.875,2.875,0.000,5.375,7.375,11.200,8.781,10.500,10.156,
250,Auto Enable,-0.295,-0.423,5.720,1.179,TRUE,4.204,4.140,1.750,0.000,0.000,2.875,2.875,0.000,4.625,7.375,11.200,8.875,10.550,10.188,
300,Auto Enable,-0.274,-0.423,5.400,2.057,TRUE,5.922,5.524,0.000,0.000,0.000,0.000,0.000,0.000,4.625,6.000,11.250,8.875,10.600,10.250,
350,Auto Enable,-0.277,-0.423,5.050,-2.017,TRUE,7.127,6.498,0.000,0.000,0.000,0.000,0.000,0.000,4.125,5.750,11.300,8.875,10.650,10.312,
400,Auto Enable,-0.275,-0.423,4.340,-0.045,TRUE,9.049,7.908,0.000,0.000,0.000,0.000,0.000,0.000,3.875,5.625,11.300,9.000,10.600,10.250,
450,Auto Enable,-0.272,-0.423,3.590,0.032,TRUE,10.382,8.908,0.000,0.000,0.000,0.000,0.000,0.000,3.750,5.625,11.350,9.000,10.650,10.312,
500,Auto Enable,-0.268,-0.423,2.680,0.987,TRUE,12.407,10.382,0.000,0.000,0.000,0.000,0.000,0.000,3.750,5.375,11.350,9.000,10.650,10.312,
550,Auto Enable,-0.257,-0.423,2.060,-1.836,TRUE,14.394,11.831,0.000,0.000,0.000,0.000,0.000,0.000,3.750,5.125,11.400,8.938,10.650,10.312,
600,Auto Enable,-0.285,-0.423,1.430,-0.328,TRUE,15.740,12.843,0.000,0.000,0.000,0.000,0.000,0.000,3.625,5.000,11.350,8.938,10.600,10.250,
650,Auto Enable,-0.290,-0.423,0.610,0.496,TRUE,17.816,14.445,0.000,0.000,0.000,0.000,0.000,0.000,3.625,5.000,11.400,8.875,10.600,10.250,
700,Auto Enable,-0.292,-0.423,0.280,2.008,TRUE,19.149,15.496,0.000,0.000,0.000,2.500,0.000,0.000,3.500,5.000,11.300,8.875,10.650,10.312,
750,Auto Enable,-0.423,-0.422,-0.870,-1.857,TRUE,21.251,17.278,0.000,0.000,0.000,2.500,0.000,0.000,3.500,4.875,11.050,8.656,10.400,10.094,
800,Auto Enable,-0.423,-0.420,-1.130,-1.077,TRUE,22.610,18.573,2.750,0.000,0.000,4.250,3.750,0.000,3.375,4.750,11.150,8.594,10.350,10.062,
850,Auto Enable,-0.423,-0.419,-1.400,0.215,TRUE,24.725,20.752,2.125,0.000,0.000,3.750,3.375,0.000,3.250,4.375,11.200,8.844,10.450,10.094,
900,Auto Enable,-0.423,-0.419,-1.370,1.843,TRUE,26.161,22.264,2.125,0.000,0.000,3.500,3.125,0.000,3.125,4.375,11.150,8.844,10.450,10.156,
950,Auto Enable,-0.423,-0.418,-1.200,-1.425,TRUE,28.378,24.648,2.000,0.000,0.000,3.500,2.875,0.000,2.875,4.000,11.200,8.875,10.500,10.156,
1000,Auto Enable,-0.423,-0.418,-1.080,-0.991,TRUE,29.890,26.263,1.750,0.000,0.000,3.250,2.875,0.000,2.875,4.000,11.150,8.875,10.500,10.156,
1050,Auto Enable,-0.423,-0.418,-0.750,-0.933,TRUE,32.159,28.801,1.500,0.000,0.000,3.000,2.750,0.000,2.875,3.875,11.250,8.844,10.550,10.156,
1100,Auto Enable,-0.423,-0.418,-0.560,-1.779,TRUE,33.736,30.467,1.500,0.000,0.000,2.875,2.750,0.000,2.625,3.875,11.200,8.938,10.500,10.188,
1150,Auto Enable,-0.423,-0.418,-0.480,2.145,TRUE,36.197,33.044,1.375,0.000,0.000,2.750,2.500,0.000,2.625,3.875,11.200,8.938,10.500,10.156,
1200,Auto Enable,-0.423,-0.422,-0.360,0.829,TRUE,38.593,35.569,1.375,0.000,0.000,2.750,2.500,0.000,2.625,3.750,11.200,9.000,10.500,10.156,
1250,Auto Enable,-0.423,-0.422,-0.200,1.229,TRUE,40.221,37.286,0.000,0.000,0.000,2.750,2.625,0.000,2.500,3.875,11.200,8.844,10.500,10.156,
1300,Auto Enable,-0.422,-0.423,0.140,0.851,TRUE,42.669,39.888,0.000,0.000,0.000,2.625,2.375,0.000,2.500,3.625,11.150,8.875,10.550,10.188,
1350,Auto Enable,-0.422,-0.423,0.310,2.039,TRUE,44.336,41.708,0.000,0.000,0.000,2.750,2.375,0.000,2.500,3.625,11.200,8.875,10.500,10.156,
1400,Auto Enable,-0.422,-0.423,0.420,-0.069,TRUE,46.822,44.349,0.000,0.000,0.000,2.625,2.375,0.000,2.375,3.625,11.250,8.938,10.500,10.156,
1450,Auto Enable,-0.422,-0.423,0.600,0.332,TRUE,48.501,46.117,0.000,0.000,0.000,2.625,2.375,0.000,2.375,3.625,11.200,8.875,10.500,10.156,
1500,Auto Enable,-0.422,-0.423,0.870,1.198,TRUE,51.052,48.745,0.000,0.000,0.000,2.750,2.375,0.000,2.375,3.625,11.250,8.875,10.550,10.188,
1550,Auto Enable,-0.421,-0.423,0.960,0.734,TRUE,52.731,50.501,0.000,0.000,0.000,2.625,0.000,0.000,2.375,3.625,11.350,9.094,10.600,10.250,
1600,Auto Enable,-0.421,-0.423,1.120,0.791,TRUE,55.269,53.167,0.000,0.000,0.000,2.500,0.000,0.000,2.375,3.750,11.350,9.000,10.600,10.250,
1650,Auto Enable,-0.419,-0.423,1.230,-1.933,TRUE,56.923,54.961,0.000,0.000,0.000,2.500,2.375,0.000,2.375,3.750,11.400,9.000,10.650,10.312,
1700,Auto Enable,-0.418,-0.423,1.370,-0.752,TRUE,59.486,57.615,0.000,0.000,0.000,2.500,2.500,0.000,2.375,3.625,11.350,8.938,10.650,10.312,
1750,Auto Enable,-0.415,-0.423,1.480,0.423,TRUE,62.088,60.306,0.000,0.000,0.000,2.500,2.500,0.000,2.375,3.500,11.400,9.031,10.600,10.312,
1800,Auto Enable,-0.415,-0.423,1.490,1.163,TRUE,63.844,62.114,0.000,0.000,0.000,2.500,2.375,0.000,2.375,3.500,11.400,9.094,10.700,10.312,
1850,Auto Enable,-0.414,-0.423,1.520,-1.887,TRUE,66.433,64.767,0.000,0.000,0.000,2.500,2.375,0.000,2.250,3.500,11.400,9.000,10.700,10.344,
1900,Auto Enable,-0.411,-0.423,1.630,-0.864,TRUE,68.151,66.523,0.000,0.000,0.000,2.500,0.000,0.000,2.250,3.500,11.450,9.000,10.700,10.344,
1950,Auto Enable,-0.407,-0.423,1.680,2.051,TRUE,70.689,69.176,0.000,0.000,0.000,2.500,0.000,0.000,2.250,3.625,11.350,9.000,10.650,10.312,
2000,Auto Enable,-0.406,-0.423,1.660,2.056,TRUE,72.419,70.945,1.375,0.000,0.000,2.375,0.000,0.000,2.250,3.500,11.400,9.031,10.650,10.312,
2050,Auto Enable,-0.403,-0.423,1.670,-0.543,TRUE,75.034,73.585,0.000,0.000,0.000,0.000,0.000,0.000,2.250,3.500,11.400,8.938,10.650,10.312,
2100,Auto Enable,-0.401,-0.423,1.720,-0.151,TRUE,77.674,76.226,0.000,0.000,0.000,2.375,0.000,0.000,2.250,3.500,11.400,9.000,10.700,10.344,
2150,Auto Enable,-0.396,-0.423,1.720,2.092,TRUE,79.366,77.943,0.000,0.000,0.000,0.000,0.000,0.000,2.250,3.500,11.400,9.031,10.700,10.344,
2200,Auto Enable,-0.394,-0.423,1.730,-1.929,TRUE,81.122,79.699,0.000,0.000,0.000,0.000,0.000,0.000,2.250,3.500,11.350,8.938,10.650,10.312,
2250,Auto Enable,-0.392,-0.423,1.710,-0.865,TRUE,83.750,82.417,0.000,0.000,0.000,0.000,0.000,0.000,2.250,3.875,11.400,9.000,10.700,10.344,
2300,Auto Enable,-0.387,-0.423,1.740,1.362,TRUE,86.287,84.890,0.000,0.000,0.000,0.000,0.000,0.000,2.250,3.750,11.400,8.938,10.700,10.344,
2350,Auto Enable,-0.388,-0.423,1.600,2.062,TRUE,88.031,86.582,0.000,0.000,0.000,0.000,0.000,0.000,2.250,3.750,11.400,8.875,10.700,10.344,
2400,Auto Enable,-0.385,-0.423,1.430,-1.911,TRUE,90.658,89.107,0.000,0.000,0.000,0.000,0.000,0.000,2.375,3.875,11.400,9.031,10.700,10.344,
2450,Auto Enable,-0.382,-0.423,1.290,-0.551,TRUE,92.401,90.786,0.000,0.000,0.000,0.000,0.000,0.000,2.375,3.875,11.350,9.000,10.700,10.344,
2500,Auto Enable,-0.382,-0.423,1.070,1.891,TRUE,94.978,93.299,0.000,0.000,0.000,0.000,0.000,0.000,2.375,3.750,11.450,9.000,10.700,10.344,
2550,Auto Enable,-0.383,-0.423,0.900,-1.969,TRUE,96.695,94.965,0.000,0.000,0.000,0.000,0.000,0.000,2.375,3.500,11.400,8.938,10.700,10.344,
