
Match Number: 0 
time,	robotMode,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,
int,	string,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4,	PWM 2 PDP 1 (intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,

5000,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
5050,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
5100,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
5150,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
5200,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
5250,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
5300,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
5350,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
5400,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.900,
5450,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
5500,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
5550,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
5600,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
5650,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
5700,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
5750,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
5800,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
5850,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
5900,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
5950,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
6000,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
6050,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
6100,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
6150,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
6200,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
6250,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
6300,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
6350,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
6400,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
6450,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
6500,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
6550,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
6600,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
6650,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
6700,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
6750,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
6800,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.026,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
6850,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.026,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
6900,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.026,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
6950,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.026,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
7000,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.026,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
7050,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.026,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
7100,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.026,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
7150,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.026,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
7200,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.026,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
7250,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.026,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
7300,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
7350,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
7400,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
7450,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
7500,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
7550,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
7600,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
7650,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
7700,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
7750,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
7800,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
7850,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
7900,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
7950,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
8000,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
8050,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
8100,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
8150,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,
8200,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
8250,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
8300,Tele Disable,0.000,0.000,0.000,0.000,FALSE,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.950,
