Sat.Mar.11.2017.1.45.PM
Match: 2,Battery: 
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,0.090,0.000,FALSE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.450,12.375,11.450,
50,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,0.160,0.386,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,12.625,11.550,
100,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,-0.090,-0.096,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.500,12.562,11.600,
150,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,0.170,0.515,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.450,12.656,11.550,
200,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,0.060,-0.045,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.450,12.812,11.400,
250,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,0.000,0.203,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,12.719,11.550,
300,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,0.110,-0.111,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.500,12.844,11.450,
350,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,-0.040,-0.081,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,12.750,11.550,
400,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,0.170,-0.090,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,12.844,11.450,
