Sat.Mar.11.2017.7.39.PM
Match: 0,Battery: 
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0,Auto Enable,FALSE,0.000,0.000,0.000,0.000,Close,Down,0.020,0.000,FALSE,6.563,-5.678,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.500,13.156,11.600,
50,Auto Enable,FALSE,0.000,0.000,0.000,0.000,Close,Down,-0.080,0.406,TRUE,6.563,-5.678,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.500,12.500,11.600,
100,Auto Enable,FALSE,0.000,0.000,0.000,0.000,Close,Down,0.030,-0.674,TRUE,6.563,-5.678,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,12.719,11.550,
150,Auto Enable,FALSE,0.006,-0.006,0.000,0.000,Close,Down,-0.070,0.605,TRUE,6.563,-5.678,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.500,12.625,11.650,
200,Auto Enable,FALSE,-0.033,-0.045,0.000,0.000,Close,Down,-0.030,-0.029,TRUE,6.563,-5.678,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.450,12.750,11.550,
250,Auto Enable,FALSE,-0.161,-0.177,0.000,0.000,Close,Down,0.010,-0.380,TRUE,6.563,-5.678,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.500,12.906,11.550,
300,Auto Enable,FALSE,-0.375,-0.398,0.000,0.000,Close,Down,-0.020,0.055,TRUE,6.575,-5.665,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,12.750,11.350,
350,Auto Enable,FALSE,-0.466,-0.490,0.000,0.000,Close,Down,-0.220,-0.117,TRUE,6.845,-5.332,0.000,0.000,0.000,6.750,5.875,6.875,4.875,8.875,11.050,11.438,10.200,
400,Auto Enable,FALSE,-0.457,-0.490,0.000,0.000,Close,Down,-0.220,-0.117,TRUE,7.767,-4.140,7.750,0.000,0.000,10.000,9.375,10.875,8.375,13.750,11.350,12.312,10.450,
