Sat.Feb.18.2017.11.46.AM
Match Number: 0 
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,	pincherState,	armState,
int,	string,	boolean,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	string,	string,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,	PCM Solenoid Volt,	Pincher State,	Arm State,
1300,Tele Enable,FALSE,0.000,0.000,-5.800,-0.223,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.650,8.656,11.950,11.562,Open,Down,
1350,Tele Enable,FALSE,0.000,0.000,-5.800,-0.145,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,8.594,11.950,11.562,Open,Down,
1400,Tele Enable,FALSE,-0.000,0.000,-5.800,-0.065,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,8.656,11.950,11.531,Open,Down,
1450,Tele Enable,FALSE,-0.004,0.000,-5.790,0.044,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,8.656,11.950,11.531,Open,Down,
1500,Tele Enable,FALSE,-0.004,0.000,-5.810,-0.281,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.650,8.656,11.950,11.562,Open,Down,
1550,Tele Enable,FALSE,-0.004,0.000,-5.810,-0.646,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.650,8.656,11.950,11.531,Open,Down,
1600,Tele Enable,FALSE,-0.004,0.000,-5.810,-0.308,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.650,8.688,11.900,11.531,Open,Down,
1650,Tele Enable,FALSE,-0.010,0.000,-5.800,-0.274,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.650,8.656,11.900,11.531,Open,Down,
1700,Tele Enable,FALSE,-0.020,0.000,-5.810,-0.836,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,8.656,11.950,11.562,Open,Down,
1750,Tele Enable,FALSE,-0.042,0.000,-5.810,-0.688,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,8.656,11.900,11.531,Open,Down,
1800,Tele Enable,FALSE,-0.131,0.000,-5.810,-0.633,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.650,8.688,11.900,11.531,Open,Down,
1850,Tele Enable,FALSE,-0.161,0.000,-5.820,-0.569,TRUE,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,8.656,11.900,11.531,Open,Down,
