Sat.Feb.18.2017.4.29.PM
Match Number: 0 
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,	pincherState,	armState,
int,	string,	boolean,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	string,	string,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,	PCM Solenoid Volt,	Pincher State,	Arm State,
0,Tele Enable,FALSE,0.000,-0.002,6.280,0.000,FALSE,37.453,33.582,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,15.906,11.400,11.031,Open,Down,
50,Tele Enable,FALSE,0.000,-0.002,6.270,0.134,TRUE,37.453,33.582,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.400,12.906,11.550,11.156,Open,Down,
100,Tele Enable,FALSE,0.000,-0.002,6.290,-0.255,TRUE,37.453,33.595,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,12.812,11.400,11.062,Open,Down,
150,Tele Enable,FALSE,0.000,-0.002,6.270,-0.920,TRUE,37.491,33.582,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,13.000,11.400,11.031,Open,Down,
200,Tele Enable,FALSE,0.000,-0.002,6.400,0.592,TRUE,37.478,33.620,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,12.844,11.450,11.125,Open,Down,
250,Tele Enable,FALSE,0.000,-0.002,6.220,1.422,TRUE,37.466,33.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,13.000,11.350,11.031,Open,Down,
300,Tele Enable,FALSE,0.000,-0.002,6.230,0.869,TRUE,37.504,33.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.300,13.094,11.300,10.969,Open,Down,
350,Tele Enable,FALSE,0.000,-0.002,6.300,-0.791,TRUE,37.440,33.595,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.350,12.844,11.450,11.125,Open,Down,
