
Match Number: 0 
time,	robotMode,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,
int,	string,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4,	PWM 2 PDP 1 (intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,
0,Auto Enable,-0.423,-0.407,-3.630,0.000,FALSE,0.000,0.051,0.000,0.000,0.000,4.500,3.250,0.000,3.125,0.000,10.850,13.156,9.450,9.094,
50,Auto Enable,-0.423,-0.401,-3.390,-1.804,TRUE,0.423,0.769,3.125,0.000,0.000,8.750,8.125,0.000,6.625,8.375,10.850,10.062,10.200,9.906,
100,Auto Enable,-0.423,-0.398,-3.020,-1.419,TRUE,0.910,1.551,7.875,0.000,0.000,8.750,8.125,0.000,6.625,8.375,11.000,8.781,10.350,10.062,
150,Auto Enable,-0.423,-0.401,-2.560,-1.453,TRUE,1.948,3.025,5.625,0.000,0.000,6.375,5.000,0.000,5.250,7.375,11.100,8.688,10.450,10.094,
200,Auto Enable,-0.423,-0.405,-1.660,0.025,TRUE,3.345,4.794,4.000,0.000,0.000,5.125,4.875,0.000,4.250,6.250,11.150,8.688,10.550,10.188,
250,Auto Enable,-0.423,-0.412,-1.310,-1.201,TRUE,4.473,6.152,3.000,0.000,0.000,4.375,3.875,0.000,3.625,5.500,11.200,8.875,10.550,10.188,
300,Auto Enable,-0.423,-0.409,-0.910,0.146,TRUE,6.281,8.178,2.500,0.000,0.000,4.000,3.875,0.000,3.375,5.500,11.250,8.875,10.550,10.188,
350,Auto Enable,-0.423,-0.410,-0.660,-1.911,TRUE,7.601,9.639,2.500,0.000,0.000,4.000,3.875,0.000,3.375,4.750,11.200,8.844,10.550,10.188,
400,Auto Enable,-0.423,-0.409,-0.300,-0.139,TRUE,9.741,11.997,2.125,0.000,0.000,3.750,3.250,0.000,2.875,4.750,11.200,8.875,10.550,10.250,
450,Auto Enable,-0.422,-0.423,0.020,-0.046,TRUE,11.100,13.510,2.125,0.000,0.000,3.375,3.125,0.000,2.875,4.250,11.200,8.938,10.550,10.188,
500,Auto Enable,-0.422,-0.423,0.320,2.093,TRUE,13.305,16.099,1.875,0.000,0.000,3.250,2.750,0.000,2.875,4.375,11.250,8.938,10.550,10.250,
550,Auto Enable,-0.422,-0.423,0.410,1.375,TRUE,14.830,17.739,1.750,0.000,0.000,3.250,2.750,0.000,2.625,4.375,11.200,9.000,10.600,10.250,
600,Auto Enable,-0.422,-0.423,0.760,-0.165,TRUE,17.124,20.175,1.500,0.000,0.000,3.000,2.625,0.000,2.625,4.125,11.250,9.000,10.600,10.250,
650,Auto Enable,-0.421,-0.423,1.160,0.613,TRUE,18.765,22.802,1.375,0.000,0.000,3.000,2.625,0.000,2.625,3.875,11.250,9.031,10.600,10.250,
700,Auto Enable,-0.419,-0.423,1.370,-0.464,TRUE,21.264,24.558,0.000,0.000,0.000,2.750,2.375,0.000,2.500,3.750,11.250,8.938,10.600,10.250,
750,Auto Enable,-0.418,-0.423,1.550,-1.992,TRUE,23.687,27.135,0.000,0.000,0.000,2.625,2.375,0.000,2.375,3.750,11.300,8.938,10.600,10.250,
800,Auto Enable,-0.416,-0.423,1.640,-1.844,TRUE,25.302,28.968,0.000,0.000,0.000,2.625,2.375,0.000,2.375,3.750,11.350,9.094,10.650,10.312,
850,Auto Enable,-0.414,-0.423,1.750,-1.202,TRUE,27.763,31.582,0.000,0.000,0.000,2.625,2.375,0.000,2.375,3.625,11.350,9.125,10.650,10.312,
900,Auto Enable,-0.412,-0.423,1.990,0.735,TRUE,29.429,33.274,0.000,0.000,0.000,2.625,2.375,0.000,2.375,3.500,11.350,9.031,10.650,10.312,
950,Auto Enable,-0.408,-0.423,2.070,-0.424,TRUE,32.057,35.927,0.000,0.000,0.000,2.500,0.000,0.000,2.375,3.500,11.350,9.000,10.650,10.312,
1000,Auto Enable,-0.403,-0.423,2.130,-0.805,TRUE,33.748,37.696,0.000,0.000,0.000,0.000,0.000,0.000,2.250,3.500,11.350,9.031,10.650,10.344,
1050,Auto Enable,-0.396,-0.423,2.310,1.112,TRUE,36.197,40.234,0.000,0.000,0.000,0.000,0.000,0.000,2.250,3.500,11.350,9.125,10.650,10.312,
1100,Auto Enable,-0.394,-0.423,2.350,2.060,TRUE,38.734,42.836,0.000,0.000,0.000,0.000,0.000,0.000,2.250,3.625,11.400,9.031,10.650,10.312,
1150,Auto Enable,-0.389,-0.423,2.350,-1.582,TRUE,40.555,44.643,0.000,0.000,0.000,0.000,0.000,0.000,2.250,3.500,11.400,9.094,10.650,10.312,
1200,Auto Enable,-0.387,-0.423,2.260,-0.872,TRUE,43.041,47.091,0.000,0.000,0.000,0.000,0.000,0.000,2.250,3.500,11.350,9.094,10.700,10.312,
1250,Auto Enable,-0.381,-0.423,2.270,0.045,TRUE,44.784,48.822,0.000,0.000,0.000,0.000,0.000,0.000,2.250,3.500,11.400,9.094,10.700,10.344,
1300,Auto Enable,-0.378,-0.423,2.140,2.071,TRUE,47.361,51.321,0.000,0.000,0.000,0.000,0.000,0.000,2.250,3.625,11.400,9.125,10.650,10.312,
1350,Auto Enable,-0.372,-0.423,2.040,-1.965,TRUE,48.988,52.872,0.000,0.000,0.000,0.000,0.000,0.000,2.250,3.625,11.350,9.125,10.700,10.344,
1400,Auto Enable,-0.371,-0.423,1.930,-0.504,TRUE,51.565,55.449,0.000,0.000,0.000,0.000,0.000,0.000,2.375,3.625,11.300,9.094,10.650,10.312,
1450,Auto Enable,-0.366,-0.423,1.920,-1.042,TRUE,53.231,57.038,0.000,0.000,0.000,0.000,0.000,0.000,2.375,3.500,11.350,9.094,10.700,10.344,
1500,Auto Enable,-0.366,-0.423,1.650,-0.081,TRUE,55.654,59.358,0.000,0.000,0.000,0.000,0.000,0.000,2.375,3.500,11.400,9.094,10.700,10.344,
1550,Auto Enable,-0.368,-0.423,1.450,-1.907,TRUE,57.435,61.037,0.000,0.000,0.000,0.000,0.000,0.000,2.500,3.500,11.400,9.125,10.700,10.344,
1600,Auto Enable,-0.366,-0.423,1.250,0.389,TRUE,59.871,63.357,0.000,0.000,0.000,0.000,0.000,0.000,2.500,3.500,11.250,9.094,10.600,10.250,
1650,Auto Enable,-0.362,-0.423,1.100,1.151,TRUE,62.293,65.600,0.000,0.000,0.000,0.000,2.375,0.000,2.500,3.875,11.350,9.094,10.700,10.344,
1700,Auto Enable,-0.362,-0.423,0.990,0.484,TRUE,63.921,67.215,0.000,0.000,0.000,0.000,0.000,0.000,2.375,3.625,11.400,9.094,10.650,10.344,
1750,Auto Enable,-0.490,0.067,0.610,-1.381,TRUE,66.395,69.637,0.000,0.000,0.000,3.250,3.000,0.000,2.125,3.000,11.300,9.000,10.550,10.156,
1800,Auto Enable,-0.490,0.067,0.500,0.679,TRUE,67.599,71.355,3.375,0.000,0.000,3.250,3.000,0.000,0.000,3.000,11.300,8.844,10.550,10.188,
1850,Auto Enable,-0.490,0.067,1.240,2.002,TRUE,69.048,74.175,3.375,0.000,0.000,5.500,4.875,0.000,0.000,0.000,11.350,9.188,10.650,10.312,
1900,Auto Enable,-0.490,0.067,3.350,0.183,TRUE,69.817,76.072,2.875,0.000,0.000,5.000,4.125,0.000,0.000,0.000,11.300,9.094,10.650,10.312,
1950,Auto Enable,-0.490,0.067,6.230,-0.725,TRUE,70.740,78.917,2.875,0.000,0.000,4.875,4.125,0.000,0.000,0.000,11.350,9.031,10.650,10.312,
2000,Auto Enable,-0.490,0.067,8.490,-0.268,TRUE,71.291,80.699,2.875,0.000,0.000,4.875,4.500,0.000,0.000,0.000,11.350,9.031,10.600,10.250,
2050,Auto Enable,-0.490,0.067,11.920,2.282,TRUE,72.022,83.596,2.875,0.000,0.000,5.000,4.375,0.000,0.000,0.000,11.300,9.000,10.600,10.250,
2100,Auto Enable,-0.490,0.067,14.290,-1.065,TRUE,72.457,85.429,3.000,0.000,0.000,5.000,4.375,0.000,0.000,0.000,11.250,9.000,10.600,10.250,
2150,Auto Enable,-0.490,0.067,17.910,-0.281,TRUE,73.034,88.210,3.250,0.000,0.000,5.125,4.500,0.000,0.000,0.000,11.300,8.938,10.600,10.250,
2200,Auto Enable,-0.490,0.067,21.740,1.709,TRUE,73.380,89.928,3.250,0.000,0.000,5.375,4.750,0.000,0.000,0.000,11.300,9.000,10.600,10.250,
2250,Auto Enable,-0.490,0.067,22.980,1.797,TRUE,73.867,92.619,3.250,0.000,0.000,5.375,4.750,0.000,0.000,0.000,11.250,8.938,10.600,10.250,
2300,Auto Enable,-0.490,0.067,28.030,-1.792,TRUE,74.290,95.260,3.500,0.000,0.000,5.625,4.875,0.000,0.000,0.000,11.300,8.938,10.600,10.250,
2350,Auto Enable,-0.490,0.067,30.570,-0.726,TRUE,74.585,97.144,3.625,0.000,0.000,5.625,4.875,0.000,0.000,0.000,11.250,9.000,10.600,10.250,
2400,Auto Enable,-0.490,0.067,34.500,0.974,TRUE,74.957,99.669,3.625,0.000,0.000,5.625,5.125,0.000,0.000,0.000,11.350,9.031,10.600,10.250,
2450,Auto Enable,-0.490,0.067,37.050,1.666,TRUE,75.200,101.361,3.750,0.000,0.000,5.625,5.125,0.000,0.000,0.000,11.300,8.938,10.650,10.312,
2500,Auto Enable,-0.423,-0.029,40.970,-2.066,TRUE,75.559,104.001,3.750,0.000,0.000,4.750,4.250,0.000,0.000,0.000,11.350,9.125,10.800,10.469,
2550,Auto Enable,-0.490,0.067,42.260,-1.954,TRUE,75.777,105.667,3.000,0.000,0.000,4.750,4.625,0.000,0.000,0.000,11.300,9.094,10.650,10.344,
