Sat.Mar.11.2017.10.22.AM
Match: 5,Battery: 2017
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0,Auto Enable,TRUE,-0.123,-0.117,0.000,0.000,Close,Down,0.000,0.000,FALSE,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,0.000,12.650,
50,Auto Enable,TRUE,-0.398,-0.389,0.000,0.000,Close,Down,0.000,-0.002,FALSE,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,4.375,0.000,12.150,0.000,12.150,
100,Auto Enable,TRUE,-0.490,-0.478,0.000,0.000,Close,Down,-0.220,-0.232,TRUE,0.244,0.359,6.000,0.000,0.000,6.375,4.250,6.375,4.375,8.125,10.400,0.000,10.300,
150,Auto Enable,TRUE,-0.490,-0.471,0.000,0.000,Close,Down,-0.350,-0.744,TRUE,1.205,1.474,11.250,0.000,2.250,11.875,7.875,11.000,6.875,13.625,10.800,0.000,10.700,
200,Auto Enable,TRUE,-0.490,-0.452,0.000,0.000,Close,Down,-0.660,-0.229,TRUE,2.038,2.487,11.250,0.000,2.250,9.750,5.875,7.625,4.375,10.750,11.100,0.000,10.950,
250,Auto Enable,TRUE,-0.490,-0.431,0.000,0.000,Close,Down,-0.990,-0.284,TRUE,4.358,5.140,8.500,0.000,0.000,8.125,4.875,5.000,3.125,8.125,11.300,0.000,11.300,
300,Auto Enable,TRUE,-0.490,-0.413,0.000,0.000,Close,Down,-1.360,-0.213,TRUE,5.794,6.601,6.750,0.000,0.000,6.750,4.500,3.250,2.250,8.125,11.400,0.000,11.350,
350,Auto Enable,TRUE,-0.490,-0.416,0.000,0.000,Close,Down,-1.410,0.068,TRUE,8.934,9.664,5.375,0.000,0.000,5.875,3.625,2.375,1.750,4.750,11.600,0.000,11.600,
400,Auto Enable,TRUE,-0.490,-0.410,0.000,0.000,Close,Down,-1.300,0.008,TRUE,11.600,12.164,4.625,0.000,0.000,5.875,3.625,2.375,1.750,4.750,11.700,0.000,11.600,
