Sat.Mar.25.2017.4.02.PM
Match: 29,Battery: -3
time,	realTime,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	seesTarget,	targetDistance,	targetAngle,	PDP2,	PDP3,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Real Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	Sees Target?,	Target Distance,	Target Angle,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 3 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0, 0,Auto Enable,TRUE,0.000,0.000,0.000,0.000,Close,Down,0.000,0.000,FALSE,0.000,0.000,TRUE,1.479,71.949,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.150,0.000,13.050,
100, 101,Auto Enable,TRUE,0.000,0.000,0.000,0.000,Close,Down,0.000,0.004,FALSE,0.000,0.000,TRUE,1.479,71.949,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.150,0.000,13.100,
200, 202,Auto Enable,TRUE,-0.007,0.002,0.000,0.000,Close,Down,0.000,-0.003,FALSE,0.000,0.000,TRUE,1.479,71.949,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.150,0.000,13.050,
300, 303,Auto Enable,TRUE,-0.123,-0.111,0.000,0.000,Close,Down,0.000,0.013,FALSE,0.000,0.000,TRUE,1.479,71.949,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.150,0.000,13.050,
400, 405,Auto Enable,TRUE,-0.360,-0.338,0.000,0.000,Close,Down,0.040,-0.163,TRUE,0.154,0.128,TRUE,1.479,71.949,0.000,0.000,0.000,5.500,4.875,3.625,2.250,0.000,12.450,0.000,12.400,
500, 506,Auto Enable,TRUE,-0.360,-0.329,0.000,0.000,Close,Down,-0.090,-0.195,TRUE,1.115,1.141,TRUE,1.401,71.949,4.750,0.000,0.000,5.875,4.750,3.250,1.875,6.000,12.600,0.000,12.450,
600, 606,Auto Enable,TRUE,-0.360,-0.308,0.000,0.000,Close,Down,-0.130,-0.028,TRUE,2.974,2.999,TRUE,1.634,77.350,3.875,0.000,0.000,4.500,3.000,2.625,0.000,3.750,12.650,0.000,12.550,
700, 707,Auto Enable,TRUE,-0.360,-0.291,0.000,0.000,Close,Down,0.090,-0.040,TRUE,5.396,5.217,TRUE,1.634,71.949,3.000,0.000,0.000,4.125,2.625,2.000,0.000,3.000,12.750,0.000,12.650,
