Sat.Mar.11.2017.9.18.AM
Match: 0,Battery: 
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,0.090,0.000,FALSE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.600,11.969,10.700,
50,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,0.000,-0.245,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,11.969,10.650,
100,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,-0.080,-0.071,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.350,12.031,10.500,
150,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,-0.060,0.139,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.600,11.969,10.350,
200,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,-0.080,0.185,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.400,12.375,10.650,
250,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,-0.040,0.218,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.450,12.656,10.500,
300,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,0.020,0.126,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.400,12.406,10.400,
350,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,0.050,-0.033,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.700,12.281,10.300,
400,Tele Enable,FALSE,0.000,-0.002,-0.006,0.000,Open,Down,0.040,0.105,TRUE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.600,12.312,10.000,
