Sat.Mar.11.2017.2.00.PM
Match: 9,Battery: 2017
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	intakeSpeed,	climberSpeed,	pincherState,	armState,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,
int,	string,	boolean,	float,	float,	float,	float,	string,	string,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Intake Speed,	Climber Speed,	Pincher State,	Arm State,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,
0,Auto Enable,TRUE,-0.042,-0.303,0.000,0.000,Close,Up,0.000,0.000,FALSE,0.000,0.064,0.000,0.000,0.000,0.000,0.000,3.125,1.625,4.625,12.250,0.000,12.250,
50,Auto Enable,TRUE,-0.042,-0.303,0.000,0.000,Close,Up,-0.270,0.132,TRUE,0.026,0.410,0.000,0.000,0.000,0.000,0.000,3.125,1.625,4.625,12.100,0.000,12.050,
100,Auto Enable,TRUE,-0.042,-0.303,0.000,0.000,Close,Up,-1.210,-0.127,TRUE,0.128,0.923,0.000,0.000,0.000,0.000,0.000,3.750,0.000,5.125,11.650,0.000,11.550,
150,Auto Enable,TRUE,-0.042,-0.303,0.000,0.000,Close,Up,-1.860,-0.004,TRUE,0.346,1.641,0.000,0.000,0.000,0.000,0.000,3.625,0.000,4.375,11.650,0.000,11.550,
200,Auto Enable,TRUE,-0.042,-0.303,0.000,0.000,Close,Up,-2.720,0.041,TRUE,0.641,2.461,0.000,0.000,0.000,0.000,0.000,3.375,0.000,4.375,11.650,0.000,11.550,
250,Auto Enable,TRUE,-0.303,-0.042,0.000,0.000,Close,Up,-3.670,0.065,TRUE,0.923,3.089,0.000,0.000,0.000,2.375,0.000,0.000,0.000,4.375,12.200,0.000,12.100,
300,Auto Enable,TRUE,-0.303,-0.042,0.000,0.000,Close,Up,-2.620,0.220,TRUE,2.128,3.538,1.625,0.000,0.000,3.000,0.000,0.000,0.000,0.000,12.350,0.000,12.250,
350,Auto Enable,TRUE,-0.303,-0.042,0.000,0.000,Close,Up,-1.910,0.000,TRUE,2.858,3.756,1.625,0.000,0.000,3.250,0.000,0.000,0.000,0.000,12.200,0.000,12.200,
400,Auto Enable,TRUE,-0.303,-0.042,0.000,0.000,Close,Up,-0.830,-0.069,TRUE,3.589,3.986,2.125,0.000,0.000,3.125,2.250,2.125,0.000,0.000,12.100,0.000,12.100,
